path,block,parcel,source_page_number
B3/B3_P14__photo2.jpg,3,14,273
B3/B3_P15__photo1.jpg,3,15,277
B3/B3_P15__photo2.jpg,3,15,277
B3/B3_P16__photo1.jpg,3,16,281
B3/B3_P16__photo2.jpg,3,16,281
B3/B3_P17__photo1.jpg,3,17,285
B3/B3_P17__photo2.jpg,3,17,285
B3/B3_P18__photo1.jpg,3,18,289
B3/B3_P18__photo2.jpg,3,18,289
B3/B3_P19__photo1.jpg,3,19,293
B3/B3_P19__photo2.jpg,3,19,293
B3/B3_P20__photo1.jpg,3,20,297
B3/B3_P20__photo2.jpg,3,20,297
B3/B3_P21__photo1.jpg,3,21,301
B3/B3_P21__photo2.jpg,3,21,301
B3/B3_P22__photo1.jpg,3,22,305
B3/B3_P22__photo2.jpg,3,22,305
B3/B3_P23__photo1.jpg,3,23,309
B3/B3_P23__photo2.jpg,3,23,309
B3/B3_P23__photo3.jpg,3,23,311
B3/B3_P23__photo4.jpg,3,23,311
B3/B3_P24__photo1.jpg,3,24,315
B3/B3_P24__photo2.jpg,3,24,315
B3/B3_P25__photo1.jpg,3,25,319
B3/B3_P25__photo2.jpg,3,25,319
B4/B4_P1__photo1.jpg,4,1,8
B4/B4_P1__photo2.jpg,4,1,9
B4/B4_P1__photo3.jpg,4,1,9
B4/B4_P1__photo4.jpg,4,1,9
B4/B4_P2__photo1.jpg,4,2,14
B4/B4_P2__photo2.jpg,4,2,14
B4/B4_P3__photo1.jpg,4,3,18
B4/B4_P3__photo2.jpg,4,3,18
B4/B4_P4__photo1.jpg,4,4,22
B4/B4_P4__photo2.jpg,4,4,22
B4/B4_P5__photo1.jpg,4,5,26
B4/B4_P5__photo2.jpg,4,5,26
B4/B4_P6__photo1.jpg,4,6,30
B4/B4_P6__photo2.jpg,4,6,31
B4/B4_P6__photo3.jpg,4,6,31
B4/B4_P6__photo4.jpg,4,6,31
B4/B4_P7__photo1.jpg,4,7,35
B4/B4_P7__photo2.jpg,4,7,35
B4/B4_P8__photo1.jpg,4,8,40
B4/B4_P8__photo2.jpg,4,8,40
B4/B4_P9__photo1.jpg,4,9,44
B4/B4_P9__photo2.jpg,4,9,44
B4/B4_P10__photo1.jpg,4,10,48
B4/B4_P10__photo2.jpg,4,10,48
B5/B5_P1__photo1.jpg,5,1,55
B5/B5_P1__photo2.jpg,5,1,57
B5/B5_P1__photo3.jpg,5,1,59
B5/B5_P2__photo1.jpg,5,2,63
B5/B5_P2__photo2.jpg,5,2,63
B5/B5_P3__photo1.jpg,5,3,67
B5/B5_P3__photo2.jpg,5,3,67
B5/B5_P4__photo1.jpg,5,4,72
B5/B5_P4__photo2.jpg,5,4,72
B5/B5_P5__photo1.jpg,5,5,76
B5/B5_P5__photo2.jpg,5,5,76
B5/B5_P6__photo1.jpg,5,6,80
B5/B5_P6__photo2.jpg,5,6,80
B5/B5_P7__photo1.jpg,5,7,84
B5/B5_P7__photo2.jpg,5,7,84
B5/B5_P8__photo1.jpg,5,8,88
B5/B5_P8__photo2.jpg,5,8,88
B5/B5_P9__photo1.jpg,5,9,90
B5/B5_P9__photo2.jpg,5,9,90
B5/B5_P10__photo1.jpg,5,10,94
B5/B5_P10__photo2.jpg,5,10,94
B5/B5_P11__photo1.jpg,5,11,98
B5/B5_P11__photo2.jpg,5,11,98
B5/B5_P12__photo1.jpg,5,12,102
B5/B5_P12__photo2.jpg,5,12,102
B5/B5_P13__photo1.jpg,5,13,107
B5/B5_P13__photo2.jpg,5,13,107
B5/B5_P13__photo3.jpg,5,13,109
B5/B5_P13__photo4.jpg,5,13,110
B5/B5_P13__photo5.jpg,5,13,110
B5/B5_P14__photo1.jpg,5,14,115
B5/B5_P14__photo2.jpg,5,14,115
B5/B5_P15__photo1.jpg,5,15,119
B5/B5_P15__photo2.jpg,5,15,119
B5/B5_P16__photo1.jpg,5,16,123
B5/B5_P16__photo2.jpg,5,16,123
B5/B5_P17__photo1.jpg,5,17,127
B5/B5_P17__photo2.jpg,5,17,127
B5/B5_P18__photo1.jpg,5,18,131
B5/B5_P18__photo2.jpg,5,18,131
B5/B5_P19__photo1.jpg,5,19,135
B5/B5_P20__photo1.jpg,5,20,139
B5/B5_P20__photo2.jpg,5,20,139
B5/B5_P22__photo1.jpg,5,22,147
B5/B5_P22__photo2.jpg,5,22,147
B5/B5_P23__photo1.jpg,5,23,153
B5/B5_P23__photo2.jpg,5,23,153
B5/B5_P23__photo3.jpg,5,23,155
B5/B5_P23__photo4.jpg,5,23,155
B5/B5_P24__photo1.jpg,5,24,160
B5/B5_P24__photo2.jpg,5,24,160
B5/B5_P26__photo1.jpg,5,26,165
B5/B5_P26__photo2.jpg,5,26,165
B5/B5_P27__photo1.jpg,5,27,171
B5/B5_P27__photo2.jpg,5,27,171
B5/B5_P28__photo1.jpg,5,28,175
B5/B5_P28__photo2.jpg,5,28,175
B5/B5_P28__photo3.jpg,5,28,177
B5/B5_P28__photo4.jpg,5,28,177
B5/B5_P29__photo1.jpg,5,29,181
B5/B5_P29__photo2.jpg,5,29,181
B5/B5_P30__photo1.jpg,5,30,185
B5/B5_P30__photo2.jpg,5,30,185
B5/B5_P30__photo3.jpg,5,30,187
B5/B5_P30__photo4.jpg,5,30,187
B5/B5_P31__photo1.jpg,5,31,192
B5/B5_P31__photo2.jpg,5,31,192
B5/B5_P31__photo3.jpg,5,31,194
B5/B5_P31__photo4.jpg,5,31,194
B5/B5_P32__photo1.jpg,5,32,200
B5/B5_P32__photo2.jpg,5,32,200
B5/B5_P33__photo1.jpg,5,33,206
B5/B5_P33__photo2.jpg,5,33,206
B5/B5_P34__photo1.jpg,5,34,210
B5/B5_P34__photo2.jpg,5,34,210
B5/B5_P35__photo1.jpg,5,35,214
B5/B5_P35__photo2.jpg,5,35,214
B5/B5_P36__photo1.jpg,5,36,218
B5/B5_P36__photo2.jpg,5,36,218
B6/B6_P1__photo1.jpg,6,1,224
B6/B6_P1__photo2.jpg,6,1,224
B6/B6_P2__photo1.jpg,6,2,228
B6/B6_P2__photo2.jpg,6,2,228
B6/B6_P3__photo1.jpg,6,3,232
B6/B6_P3__photo2.jpg,6,3,232
B6/B6_P19__photo1.jpg,6,19,234
B6/B6_P19__photo2.jpg,6,19,234
B6/B6_P19__photo3.jpg,6,19,236
B6/B6_P19__photo4.jpg,6,19,236
B6/B6_P4__photo1.jpg,6,4,240
B6/B6_P4__photo2.jpg,6,4,240
B6/B6_P5__photo1.jpg,6,5,244
B6/B6_P5__photo2.jpg,6,5,244
B6/B6_P5__photo3.jpg,6,5,246
B6/B6_P5__photo4.jpg,6,5,246
B6/B6_P6__photo1.jpg,6,6,253
B6/B6_P6__photo2.jpg,6,6,253
B6/B6_P7__photo1.jpg,6,7,255
B6/B6_P7__photo2.jpg,6,7,255
B6/B6_P8__photo1.jpg,6,8,259
B6/B6_P8__photo2.jpg,6,8,259
B6/B6_P9__photo1.jpg,6,9,265
B6/B6_P9__photo2.jpg,6,9,265
B6/B6_P10__photo1.jpg,6,10,269
B6/B6_P10__photo2.jpg,6,10,269
B6/B6_P10__photo3.jpg,6,10,271
B6/B6_P10__photo4.jpg,6,10,271
B6/B6_P10__photo5.jpg,6,10,273
B6/B6_P10__photo6.jpg,6,10,273
B6/B6_P11__photo1.jpg,6,11,277
B6/B6_P13__photo1.jpg,6,13,281
B6/B6_P13__photo2.jpg,6,13,281
B6/B6_P13__photo3.jpg,6,13,283
