image_path,file_name,block_number,classification,extracted_id,photo_detections,photo_crops
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/1.jpg,B1/1.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/2.jpg,B1/2.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/3.jpg,B1/3.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/4.jpg,B1/4.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/5.jpg,B1/5.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/6.jpg,B1/6.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/7.jpg,B1/7.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/8.jpg,B1/8.jpg,1,photo_sheet,"{'block': '1', 'parcel': '3', 'confidence': 'high', 'source': 'regex'}","[{""detector"": ""roboflow_workflow"", ""class"": ""photo"", ""class_id"": 0, ""confidence"": 0.87890625, ""detection_id"": ""55e87778-ab0b-4358-b475-08d38df50190"", ""parent_id"": ""image"", ""source_image"": {""width"": 3636, ""height"": 4630}, ""bbox"": {""x"": 2534.0, ""y"": 3859.0, ""width"": 1748.0, ""height"": 1198.0}, ""points"": null, ""rle_mask"": {""size"": [4630, 3636], ""counts"": ""mUeZ76g0f0Y3KcR4d0djK9kNIo2T2gM[M0DC9b42^e3l6iVLZ1k1WI\\f3da0hVLSB^f3Rg0QMg0XOe0[O8I6K5L4M3L2N101O00000000001O000O1000001O0O100000000O2O000000000O10000000000O10000000000O10000000000000000O1000000000000O1000O1000O10000000000000000000000001O000000000000001O000000001O0000001O001O01O01O001O00001O001O0000001O0000001O001O00001O000000001O0000001O00000000000000O10000000000O1000000001O000000000000000000O10000O100O10000O10000O10000000000O1000001O00000O10000000O2O0000000000000O1000000001O000001O00000000001O00001O001O001O001O001OO100O100O10000O10000O10001O000000000000000000001O01O0000001O00001O0000001O00001O001O0001O01O00001O00000000000000000000001O000000O100000000O010000000O1000000000000000000000001O0O1O1O1O1O00100O1O100O1O100O1O1O1N2O1O1N2N2M3L4gNY1I7K5K5I7I7D;B?jNV1L4L4M3M3N2O1001O00000000001O000000010O000O100000000000001O000000O100000000O1000000000000000000000000O100000000000000000001O00000000000000000000000000000000001O00000O1000000O1000000O10000000000000000000000000000000000000000000000000000000000001O0000000000001O00000000000000000000000000000000000001O00000000001O0000000001O000000000000000000000000001O000000000000000000000000000000O10O1000000000000000000000000000000000000000000000000000000000O100000000000000000001O000000O100000O100000000000000000000000000001O00000000000000000000001O000000000O11O0000000000000000000001OO100000000000000000000000000001O00000000000000001O000000000000O0100000000000010O00000000000000001O00000000O1000000000000000O10000000O1000000000000000000000001O0O100000000000000000000000000000O1000O10000000000000000O10O10000000000000000000000000000000000000000000000000O1000000000O100000000000000000000000000000000000000000O10000000000001O0000000000000000000000000000000001O000O11O00000000000000000001O00000000000000000000000O2O000001O000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000O10000000000000000000000001O00000000000000000000000000000000000000000000001O01O00O10000000O1000000000000000000000000000000O100000000000000000000000000000000000000000000000000000000000000001O0000000000000001O0000000000000000001O00000000000000000000000000000000000000O2O0000000000001O000000000O1000000000000000000000O100000000000000000000000000001O01O00000000000000001O01O00000001O00000000000000000000000O100000O10000000000000000000000000000O10000000000O1000000000000000000000001O000000000O10000000000000000O1000000001O000O10000000000000000000000000000O100000000000000000000000000000000000000000000000000000O100001O0000000000000000000O100001O000000000000000000000000000000000000000O100000000000000000000000000000000O100000000000000O101O000000000000000000000000000000000000000000000000000000000000001O000000000000000000000000000000000O100000000001O0000000000000000000000000000000000000001O0000000000000000000000000001O0O1000000000000000001O0000000000000000000000000O1000000000000000000000000O10000000000000000000000000000000000000O1000O100000001O000000000000000000000000000000000001O000000000000000001O000000001O00000000O1000O1000O10000000000O1000000000000000001O0000000000000000O1000000000000000000000000000000000000000O100000000000000000000000000000000000000000001O000000000000000000001O00000000000O100000000000000000000000O100000000000O100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000O10O10000000000000001O000000000000000000001O00000000000000000001O000000000000000000001O000000000000000O10000000000000000000000001O0000000000000000000000000000000000000001O000O1000000000000000000O10000000000O100000000O101N1O100O1O100O1O1N3J5bNedL[mNa[3iQ1T2@a0XOg0WOi0eN\\1SOl0QHb^LR[O]OKRf3Qa0oYLVAR1VMRg3\\a0SYLW@Wi3R>c5I7cN^oKVBQQ4Z:bPL]EeQ4Y:g2PJniKK_W4dNmjKAgkWP1""}, ""image_path"": ""/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/8.jpg"", ""page_type"": ""photo_sheet""}, {""detector"": ""roboflow_workflow"", ""class"": ""photo"", ""class_id"": 0, ""confidence"": 0.88671875, ""detection_id"": ""dbeda1ab-8029-43c3-bb7d-ae1516e0d4c7"", ""parent_id"": ""image"", ""source_image"": {""width"": 3636, ""height"": 4630}, ""bbox"": {""x"": 1124.0, ""y"": 2826.5, ""width"": 1764.0, ""height"": 1207.0}, ""points"": null, ""rle_mask"": {""size"": [4630, 3636], ""counts"": ""oVYR19k5V1YJOiR4;]oKj0iMaNa1@aN\\3VQ4VOWoK_8an3cEWQLk>Pn3[2F8H9J5J6VGd]OY\\Lk0k3Tb0T_3j@U`L_?n^3iA``L^>Y]3l[OZ`Li6T2`=S]3\\DeaL^GgNZd0\\_3dDo`LSHZO]c0f^3o<cN\\1A?SOm0L4M3M3M3M300O1O100O10000000001O000000000000000000000000000000O10000000000000000000000000000001O0001O0O10000000000000000000000000000001O0000000000000000000000000000000000000000000001O000001O00000000000000000000000000001O00000000000000000000001O00000001O000O100000000000000O10000000000000000000000000000O10000000000000000000000000001O000000000O2O0000000000000001O000O1000000000000000000001O000000000000000000000O10000000001O000000000000000000000000000001O0000O01000000000000000001O000000000000000001O01O00000000000000000000000000000000000000000000000000000000000000O1000000000000000O1000000000000000000000000000000001O0000000000000000001O0000000000000000000000001O0000000001O00000000000000000000000000000000000001O00000000000000000001O0000000000000000000010O000000000000000000000000000000000000000000000000000000000000O01000000000000000001O0000000000000000000O1000001O0000000O1000000000000001O00000000000000000O2O000000000000001O00000000000000000000000000000000000001O000000000000000000000O100000000000000000001O00000000000O101O00000000000000000000000001O000000000000000000000000000000000000000000000000000000001O0000000000001O0000000000001O0001O0000000001O00000000000000O10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001O0000000001O00000O1000001O000000000000001O00000O100000000000000000000000000O100000000000000001O00000000000000001O00O100000000000000000000O11O00000000001O00000000000000000001O00000000000000000000000000001O00000001O0000O1000O10000000000000000000000000000000000010O0000000000000000000000000000000000000001O000000000000000000000000000000000000000000000000000000000000000000000000000000000000O100001O0000000000000000000001O000001O00000000000000000001O00000000000000000000000000O100000000000000000000001O01O00000000000000000001O0000000000001O000000000000000000000000O100000000001O0000000001O0000000000000000000000000001O0000000000000000000000001O000000000000000000000000000000000000000000000000000000000000010O00000000000000000000000000000000000001O00000000O10000000001O0000000000000000000000000000O11O00000000000000000000001O000000000000000000000000000000000000000000000000000000000O100000000000000000000000000000000001N1000000000000000000O10000000O100000000000000000001O0000000000O10000000O100000000000000000000000000000001O000001O000000000000000000000000000000000000000000000000000000000000000000000001O0000000000001O000000000000001O0000000000000000001O00000000000000010O00000000000000000O1000O1000000000001O000000000O101O00000000000000000O101O000000000000000000000000000001O000000000O10000000000O1000001O00000000000000000001O000000000000000000000001O0000000001O000000000000000000000000000000000000000000001O000000000000000000010O0O10O100000000000000000000000000000001O0000000000000000O10O100000000O100000000O100000000000000000000000000001O000000000000001O000000001O000000000010O000O1000O10O10000O10000O100000000O10001O000000000O1000000000000000O10001O0000O2O000000000O1000001O000O11O00001O0000001O000000001O01O00000000000000000000000001O0001O000000000001O0000O1000000000000O1000000000000001O0000000000001O00000000001O000000001O0000000000O1000000O1000000O100000001N1000000000000000001O000000000O10000000000000001O000001O000000001O01O0001O1O001O001O0010O01O000000000000O101O0000000O100000000O1000000O10000O01000000O2O000O101O0O101O0O2O0000O100000O10O1000000000000000000000001O0000000000000000000O1000000O1000000000001O00000001O0001O0000000O1N2O1O1O1O2N1O1O1M3L4K6E:F;G8G:C=XOg0bNm`L_POn_3fl0^3TNm1YKi]LZZOkb3`c0X6hLY3^Oc0aNa1iFanKXMo2SMPQ4[4dnKbLTV4^1cmWV7""}, ""image_path"": ""/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/8.jpg"", ""page_type"": ""photo_sheet""}]","[""B1/B1_P3__photo1.jpg"", ""B1/B1_P3__photo2.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/9.jpg,B1/9.jpg,1,other,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Diaz appraisals 1964/B1/10.jpg,B1/10.jpg,1,other,,[],[]
